Date,Location,Temperature,Windspeed,Event
1/2/2023,Bangalore,32,6,Rain
1/3/2023,Bangalore,30,7,Sunny
1/4/2023,Bangalore,28,8,Fog
1/5/2023,Bangalore,26,9,Cloudy
1/6/2023,Bangalore,24,10,Moist
1/2/2023,Hyderabad,38,15,Sunny
1/3/2023,Hyderabad,36,14,Moist
1/4/2023,Hyderabad,34,13,Rain
1/5/2023,Hyderabad,32,12,Fog
1/6/2023,Hyderabad,30,11,Cloudy
1/2/2023,Chennai,40,18,Cloudy
1/3/2023,Chennai,36,20,Sunny
1/4/2023,Chennai,32,22,Rain
1/5/2023,Chennai,28,24,Moist
1/6/2023,Chennai,24,26,Fog
1/2/2023,Mumbai,26,22,Rain
1/3/2023,Mumbai,27,21,Fog
1/4/2023,Mumbai,28,20,Sunny
1/5/2023,Mumbai,29,19,Moist
1/6/2023,Mumbai,30,18,Cloudy
1/2/2023,Noida,29,6,Sunny
1/3/2023,Noida,32,9,Rain
1/4/2023,Noida,35,12,Fog
1/5/2023,Noida,38,15,Cloudy
1/6/2023,Noida,41,18,Moist
